"Route_ID","Route.Name","No_Build_PEAK","No_Build_OFF.PEAK","Build_PEAK","Build_OFF.PEAK"
"1&T","1-Dixie Hwy/Florence","329.57","329.57","329.57","329.57"
"1-348&L","1-Mt. Adams - Eden Park","0.00","0.00","0.00","0.00"
"1-362&L","1-Mt. Adams - Eden Park","30.01","43.39","0.00","0.00"
"1-367&L","1-Mt. Adams - Eden Park","0.00","0.00","30.01","43.39"
"100-351&S","100-Streetcar - OTR - Banks","0.00","0.00","0.00","0.00"
"100-365&S","100-Streetcar - OTR - Banks","21.67","68.98","21.67","68.98"
"11-348&L","11-Madison Road - Erie Avenu","0.00","0.00","0.00","0.00"
"11-362&L","11-Madison Road - Erie Avenu","413.51","341.26","0.00","0.00"
"11-367&L","11-Madison Road - Erie Avenu","0.00","0.00","413.51","341.26"
"12&T","12-Bellevue/Dayton","41.31","41.31","41.31","41.31"
"12-348&L","12-Madisonville - Commuter","0.00","0.00","0.00","0.00"
"12-362&L","12-Madisonville - Commuter","17.65","0.00","0.00","0.00"
"12-367&L","12-Madisonville - Commuter","0.00","0.00","17.65","0.00"
"14-367&L","14-Northside - Central Pkwy","0.00","0.00","50.21","56.49"
"15-367&L","15-Spring Grove Ave","0.00","0.00","78.36","78.36"
"16&T","16-West Newport/Fort Thomas","29.95","33.70","29.95","33.70"
"16-348&L","16-Mt Healthy - Northgate","0.00","0.00","0.00","0.00"
"16-362&L","16-Mt Healthy - Northgate","322.31","393.48","0.00","0.00"
"16-367&L","16-Mt Healthy - Northgate","0.00","0.00","259.23","259.23"
"17-348&L","17-Hamilton Avenue","0.00","0.00","0.00","0.00"
"17-362&L","17-Hamilton Avenue","561.98","510.44","0.00","0.00"
"17-367&L","17-Clifton Ave","0.00","0.00","59.33","59.33"
"17X&T","17X-Buttermilk Pike Express","17.15","0.00","17.15","0.00"
"18-367&L","18-Hamilton Avenue","0.00","0.00","123.20","123.20"
"19-348&L","19-Colerain Avenue","0.00","0.00","0.00","0.00"
"19-362&L","19-Colerain Avenue","290.37","373.31","0.00","0.00"
"19-367&L","19-Colerain Avenue","0.00","0.00","230.35","230.35"
"2-348&L","2-Madeira - Commuter","0.00","0.00","0.00","0.00"
"2-362&L","2-Madeira - Commuter","39.39","0.00","0.00","0.00"
"2-367&L","2-Madeira - Commuter","0.00","0.00","39.39","0.00"
"20-348&L","20-Winton Rd - Forest Park","0.00","0.00","0.00","0.00"
"20-362&L","20-Winton Rd - Forest Park","258.08","354.17","0.00","0.00"
"20-367&L","20-Winton Road","0.00","0.00","168.69","224.91"
"21-348&L","21-Westwood - Harrison Avenu","0.00","0.00","0.00","0.00"
"21-362&L","21-Westwood - Harrison Avenu","306.53","224.63","0.00","0.00"
"21-367&L","21-Westwood - Harrison Avenu","0.00","0.00","306.53","224.63"
"22-362&L","22-Crosstown: Glenway - Madi","79.44","0.00","0.00","0.00"
"22-367&L","22-Crosstown: Glenway - Madi","0.00","0.00","79.44","0.00"
"22X&T","22X-Mt. Zion Rd Express","36.27","0.00","36.27","0.00"
"23X-349&E","23X-Tri - County - Forest Pa","0.00","0.00","0.00","0.00"
"23X-363&E","23X-Tri - County - Forest Pa","151.62","0.00","151.62","0.00"
"24&T","NKU Shuttle-NKU Shuttle","19.19","43.19","19.19","43.19"
"24-348&L","24-MLK / Beechmont","0.00","0.00","0.00","0.00"
"24-362&L","24-Beechmont - MLK","353.64","349.55","0.00","0.00"
"24-367&L","24-Beechmont - MLK","0.00","0.00","353.64","349.55"
"25&T","25-NKU/Alexandria","238.60","251.35","238.60","251.35"
"25-348&L","25-Mt Lookout - Hyde Park -","0.00","0.00","0.00","0.00"
"25-362&L","25-Mt Lookout - Hyde Park -","20.52","0.00","0.00","0.00"
"25-367&L","25-Mt Lookout - Hyde Park -","0.00","0.00","20.52","0.00"
"25X&T","25X-Alexandria Express","30.05","0.00","30.05","0.00"
"27-348&L","27-Northside - Casey","0.00","0.00","0.00","0.00"
"27-362&L","27-Northside - Casey","160.44","122.96","0.00","0.00"
"27-367&L","27-Beekman - Ivorydale","0.00","0.00","224.14","247.75"
"28-348&L","28-Madisonville - East End","0.00","0.00","0.00","0.00"
"28-362&L","28-Madisonville - East End","155.50","79.64","0.00","0.00"
"28-367&L","28-Madisonville - East End","0.00","0.00","155.50","79.64"
"29X-349&E","29X-Milford Express","0.00","0.00","0.00","0.00"
"29X-363&E","29X-Milford Express","107.63","0.00","107.63","0.00"
"2X&T","2X-Airporter","218.55","242.86","218.55","242.86"
"3&T","3-Ludlow/Bromley","40.13","44.82","40.13","44.82"
"30-348&L","30-Beechmont - 8 Mile - Comm","0.00","0.00","0.00","0.00"
"30-362&L","30-Beechmont - 8 Mile - Comm","96.03","0.00","0.00","0.00"
"30-367&L","30-Beechmont - 8 Mile - Comm","0.00","0.00","96.03","0.00"
"30X&T","30X-Fort Wright/Lake Park Dr","28.36","0.00","28.36","0.00"
"31-348&L","31-Crosstown: West End - Eva","0.00","0.00","0.00","0.00"
"31-362&L","31-Crosstown: West End - Eva","266.76","262.42","0.00","0.00"
"31-367&L","31-Crosstown: West End - Eva","0.00","0.00","266.76","262.42"
"32-348&L","32-Price Hill - Delhi - Sayl","0.00","0.00","0.00","0.00"
"32-362&L","32-Price Hill - Delhi - Sayl","285.21","250.58","0.00","0.00"
"32-367&L","32-Price Hill - Delhi - Sayl","0.00","0.00","285.21","250.58"
"32X&T","32X-Burlington Express","51.31","0.00","51.31","0.00"
"33-348&L","33-Glenway Avenue","0.00","0.00","0.00","0.00"
"33-362&L","33-Glenway Avenue","329.39","285.17","0.00","0.00"
"33-367&L","33-Glenway Avenue","0.00","0.00","329.39","285.17"
"352&T","Holmes HS #3 PM-Holmes #3 PM","0.00","0.00","0.00","0.00"
"36-362&L","36-Crosstown: Price Hill - U","214.17","281.16","0.00","0.00"
"36-367&L","36-Crosstown: Price Hill - U","0.00","0.00","214.17","281.16"
"37-348&L","37-Crosstown: Glenway - MLK","0.00","0.00","0.00","0.00"
"37-362&L","37-Westwood Northern - Madis","439.87","422.24","0.00","0.00"
"37-367&L","37-Westwood Northern - Madis","0.00","0.00","439.87","422.24"
"3701&T","Southbank Shuttle-Southbank","114.89","155.92","114.89","155.92"
"38-348&L","38-Glenway Crossing- Uptown","0.00","0.00","0.00","0.00"
"38-362&L","38-Glenway Crossing- Uptown","42.72","0.00","0.00","0.00"
"38-367&L","38-Glenway Crossing- Uptown","0.00","0.00","42.72","0.00"
"39X&T","39X-Petersburg Rd/South Hebr","166.53","12.34","166.53","12.34"
"3X-349&E","3X-Montgomery Express - Job","0.00","0.00","0.00","0.00"
"3X-363&E","3X-Montgomery Express - Job","124.73","0.00","124.73","0.00"
"4-348&L","4-Montgomery Rd","0.00","0.00","0.00","0.00"
"4-362&L","4-Montgomery Rd","463.41","493.02","0.00","0.00"
"4-367&L","4-Montgomery Rd","0.00","0.00","463.41","493.02"
"40-348&L","40-Montana Avenue - Commuter","0.00","0.00","0.00","0.00"
"40-362&L","40-Montana Avenue - Commuter","43.75","0.00","0.00","0.00"
"40-367&L","40-Montana Avenue - Commuter","0.00","0.00","43.75","0.00"
"40X&T","40X-Worldwide Blvd/North Heb","204.40","12.81","204.40","12.81"
"41-348&L","41-Crosstown: Westwood - Oak","0.00","0.00","0.00","0.00"
"41-362&L","41-Crosstown: Westwood - Oak","459.51","215.26","0.00","0.00"
"41-367&L","41-Crosstown: Westwood - Oak","0.00","0.00","459.51","215.26"
"412&T","Newport HS #2 AM-Newport HS","0.00","0.00","0.00","0.00"
"42X&T","42X-Florence Hub/Industrial","162.89","162.89","162.89","162.89"
"42X-350&C","42X-West Chester Express","0.00","0.00","0.00","0.00"
"43-348&L","43-Reading Road","0.00","0.00","0.00","0.00"
"43-362&L","43-Reading - Paddock - Wayne","338.20","338.20","0.00","0.00"
"43-367&L","43-Reading - Paddock - Wayne","0.00","0.00","338.20","338.20"
"44-362&L","44-Upper Reading Road","225.58","225.58","0.00","0.00"
"44-367&L","44-Upper Reading Road","0.00","0.00","225.57","225.57"
"450&T","Holmes HS #2 PM-Holmes HS #2","0.00","0.00","0.00","0.00"
"451&T","Holmes HS #2 AM-Holmes HS #2","0.00","0.00","0.00","0.00"
"46-348&L","46-Avondale - Winton Hills","0.00","0.00","0.00","0.00"
"46-362&L","46-Uptown - Winton Terrace","197.75","255.97","0.00","0.00"
"46-367&L","46-Uptown - Winton Terrace","0.00","0.00","197.75","255.97"
"47-362&L","47-Mitchell Avenue","160.35","188.70","0.00","0.00"
"47-367&L","47-Mitchell Avenue","0.00","0.00","160.35","188.70"
"485&T","Holmes HS #5 PM-Holmes HS #5","0.00","0.00","0.00","0.00"
"49-348&L","49-Fairmount - English Woods","0.00","0.00","0.00","0.00"
"49-362&L","49-Fairmount - English Woods","98.59","89.53","0.00","0.00"
"49-367&L","49-Fairmount - English Woods","0.00","0.00","98.59","89.53"
"5&T","5-Holman Ave/Fort Wright","85.59","95.22","85.59","95.22"
"5-348&L","5-Crosstown: Oakley - Sharon","0.00","0.00","0.00","0.00"
"5-362&L","5-Crosstown: Oakley - Sharon","195.43","230.06","0.00","0.00"
"5-367&L","5-Crosstown: Oakley - Sharon","0.00","0.00","195.43","230.06"
"50-348&L","50-River Road - Sayler Park","0.00","0.00","0.00","0.00"
"50-362&L","50-River Road - Sayler Park","84.74","0.00","0.00","0.00"
"50-367&L","50-River Road - Sayler Park","0.00","0.00","84.74","0.00"
"51-348&L","51-Crosstown: Glenway - Hyde","0.00","0.00","0.00","0.00"
"51-362&L","51-Crosstown: Glenway - Hyde","390.28","424.30","0.00","0.00"
"51-367&L","51-Crosstown: Glenway - Hyde","0.00","0.00","390.28","424.30"
"511&T","Newport HS #1 PM-Newport HS","0.00","0.00","0.00","0.00"
"512&T","Newport HS #2 PM-Newport HS","0.00","0.00","0.00","0.00"
"52X-349&E","52X-Harrison Express","0.00","0.00","0.00","0.00"
"52X-363&E","52X-Harrison Express","61.11","0.00","61.11","0.00"
"552&T","Holmes HS #1 AM-Holmes HS #1","0.00","0.00","0.00","0.00"
"553&T","Holmes HS #6 PM-Holmes HS #6","0.00","0.00","0.00","0.00"
"554&T","Holmes HS #5 AM-Holmes HS #5","0.00","0.00","0.00","0.00"
"6-348&L","6-Queen City - Westwood","0.00","0.00","0.00","0.00"
"6-362&L","6-Queen City - Westwood","175.13","215.61","0.00","0.00"
"6-367&L","6-Queen City - Westwood","0.00","0.00","175.13","215.61"
"61&T","61-Covington Health Connecti","9.89","26.37","9.89","26.37"
"61-362&L","61-Galbraith Road","258.91","355.98","0.00","0.00"
"61-367&L","61-Galbraith Road","0.00","0.00","258.91","355.98"
"64-348&L","64-Glenway Crossing - Westwo","0.00","0.00","0.00","0.00"
"64-362&L","64-Glenway Crossing - Westwo","249.85","226.05","0.00","0.00"
"64-367&L","64-Glenway Crossing - Westwo","0.00","0.00","249.85","226.05"
"65-348&L","65-Crosstown: Western Hills-","0.00","0.00","0.00","0.00"
"65-362&L","65-Crosstown: Western Hills-","104.11","0.00","0.00","0.00"
"65-367&L","65-Crosstown: Western Hills-","0.00","0.00","104.11","0.00"
"652&T","Holmes HS #8 AM-Holmes HS #8","0.00","0.00","0.00","0.00"
"67-348&L","67-Crosstown: Forest Park -","0.00","0.00","0.00","0.00"
"67-362&L","67-Crosstown: Forest Park -","202.37","337.28","0.00","0.00"
"67-367&L","67-Crosstown: Forest Park -","0.00","0.00","202.37","337.28"
"7&T","7-Madison Ave/Latonia","55.00","55.00","55.00","55.00"
"71X-350&C","71X-Kings Island Express","0.00","0.00","0.00","0.00"
"71X-364&C","71X-Kings Island Express","167.66","0.00","167.66","0.00"
"72-349&E","72-Kings Island Direct","0.00","0.00","0.00","0.00"
"74X-349&E","74X-Colerain Express","0.00","0.00","0.00","0.00"
"74X-363&E","74X-Colerain Express","82.94","0.00","82.94","0.00"
"751&T","Holmes HS #7 PM-Holmes HS #7","0.00","0.00","0.00","0.00"
"752&T","Holmes HS #9 PM-Holmes HS #9","0.00","0.00","0.00","0.00"
"75X-349&E","75X-Anderson Express","0.00","0.00","0.00","0.00"
"75X-363&E","75X-Anderson Express","31.10","0.00","31.10","0.00"
"77-348&L","77-Delhi - Commuter","0.00","0.00","0.00","0.00"
"77-362&L","77-Delhi - Sayler Park","213.40","284.35","0.00","0.00"
"77-367&L","77-Delhi - Sayler Park","0.00","0.00","213.40","284.35"
"78-348&L","78-Springdale Vine - Lincoln","0.00","0.00","0.00","0.00"
"78-362&L","78-Vine Street","315.57","362.89","0.00","0.00"
"78-367&L","78-Vine Street","0.00","0.00","315.57","362.89"
"8&T","8-Eastern Ave/Crestview Hill","126.62","126.62","126.62","126.62"
"81-348&L","81-Mt. Washington - Commuter","0.00","0.00","0.00","0.00"
"81-362&L","81-Mt. Washington - Commuter","21.63","0.00","0.00","0.00"
"81-367&L","81-Mt. Washington - Commuter","0.00","0.00","21.63","0.00"
"82X-350&C","82X-Eastgate Express","0.00","0.00","0.00","0.00"
"82X-364&C","82X-Eastgate Express","54.99","0.00","54.99","0.00"
"851&T","Holmes HS #4 PM-Holmes HS #4","0.00","0.00","0.00","0.00"
"888&T","KCJ-Kenton County Jail","0.00","0.00","0.00","0.00"
"BRTH-367&L","BRTH-Hamilton Avenue BRT","0.00","0.00","693.49","766.22"
"BRTR-362&L","BRTR-Reading Road BRT","462.73","488.07","0.00","0.00"
"BRTR-367&L","BRTR-Reading Road BRT","0.00","0.00","462.73","488.07"
"M+-348&L","M+-MetroPlus","0.00","0.00","0.00","0.00"
"Total","","12154.43","10728.14","12448.24","11019.62"
